Name          #image blur_depth	#image blur_depth
Abdullah_Gul	13	2	14	1
Abdullah_Gul	13	3	16	4
Abdullatif_Sener	1	1	2	3
Adel_Al-Jubeir	1	2	3	3
Greg_Ostertag	1	0	2	3
Gregory_Hines	1	2	2	2
Gus_Van_Sant	1	3	2	1
Gwendal_Peizerat	1	3	2	0
Gwyneth_Paltrow	4	1	5	4
Harry_Kalas	1	1	2	4
Hassan_Wirajuda	1	3	2	3
Heather_Mills	3	3	4	4
Heidi_Fleiss	1	4	3	3
Heidi_Fleiss	1	2	4	2
Hermann_Maier	1	0	2	3
Horst_Koehler	1	0	3	1
Ian_Thorpe	2	4	7	3
Ian_Thorpe	3	2	10	3
Ian_Thorpe	6	1	8	3
Isabella_Rossellini	1	0	2	3
Isabelle_Huppert	1	2	2	0
Ismail_Merchant	1	4	2	3
Jack_Grubman	1	4	2	2
Jack_Nicholson	2	1	3	0
Jacques_Chirac	22	0	44	3
Jacques_Chirac	30	2	33	2
Jacques_Chirac	31	4	52	1
Jacques_Rogge	4	4	6	1
Jake_Gyllenhaal	2	3	4	2
Jake_Gyllenhaal	3	4	4	1
James_Butts	1	3	2	3
James_Franco	1	0	2	4
James_Kelly	4	1	11	3
James_Kelly	9	4	11	4
James_Kopp	1	2	3	0
James_Kopp	2	2	3	1
James_Maguire	1	4	2	1
James_Smith	1	1	2	1
Jan_Ullrich	2	1	3	4
Jan_Ullrich	2	1	5	0
Janica_Kostelic	1	4	2	2
Javier_Weber	1	4	2	2
Javier_Weber	1	3	3	3
Jean-Claude_Juncker	1	2	2	4
Jean-Claude_Trichet	1	2	2	4
Jean-Marc_de_La_Sabliere	1	1	2	3
Jean-Pierre_Raffarin	2	0	6	0
Jean_Carnahan	1	2	2	1
Jefferson_Perez	1	1	2	1
Jennifer_Capriati	3	4	13	4
Jennifer_Capriati	24	2	29	2
Jennifer_Connelly	1	2	4	2
Jennifer_Connelly	3	0	4	0
Jennifer_Keller	2	3	4	4
Jennifer_Keller	3	3	4	1
Jeong_Se-hyun	4	1	5	3
Jeremy_Shockey	1	1	2	0
Zoran_Djindjic	3	2	4	3
AJ_Lamas	1	3	Zach_Safrin	1	0
Aaron_Guiel	1	3	Reese_Witherspoon	3	1
Aaron_Tippin	1	0	Jose_Luis_Rodriguez_Zapatero	1	0
Abdul_Majeed_Shobokshi	1	4	Charles_Cope	1	4
Abdullah_Gul	16	2	Steve_Cox	1	4
Abid_Hamid_Mahmud_Al-Tikriti	1	0	Eli_Broad	1	0
Adam_Kennedy	1	3	Amelie_Mauresmo	19	2
Adel_Al-Jubeir	1	1	Elisabeth_Welch	1	0
Adrian_Murrell	1	3	Tommy_Franks	15	1
Adriana_Lima	1	4	Terrence_Trammell	1	0
Adriana_Perez_Navarro	1	0	Jennifer_Capriati	8	1
Agbani_Darego	1	0	Malik_Mahmud	1	1
Ahmed_Ghazi	1	4	Henry_Suazo	1	0
Aileen_Riggin_Soule	1	1	Damarius_Bilbo	1	2
Ain_Seppik	1	0	Donald_Regan	1	3
Aitor_Gonzalez	1	3	Lily_Tomlin	2	1
Al_Cardenas	1	1	Mary_Landrieu	3	4
Al_Davis	2	2	Dennis_Powell	1	0
Al_Pacino	1	1	Izzat_Ibrahim	1	3
Aleksander_Voloshin	1	4	Ashlea_Talbot	1	0
Alex_Cabrera	1	4	Richard_Carl	1	1
Alex_Corretja	1	0	Newt_Gingrich	1	3
Alex_Corretja	1	1	Tippi_Hedren	2	1
Alexandra_Rozovskaya	1	4	Don_King	1	4
Ali_Fallahian	1	4	Mohammed_Abulhasan	1	3
Ali_Naimi	8	3	Vanessa_Laine	1	3
Alicia_Keys	1	2	Giannina_Facio	1	2
Alicia_Molik	1	4	Lena_Katina	1	0
Aline_Chretien	1	4	Carlos_Iturgaitz	1	3
Alisha_Richman	1	0	Spencer_Abraham	9	2
Allison_Searing	1	0	Amy_Gale	1	1
Allison_Searing	1	3	Mark_Martin	1	1
Allison_Searing	1	2	Phillip_Fulmer	1	1
Allison_Searing	1	2	Warren_Beatty	1	2
Amanda_Marsh	1	2	Howard_Smith	2	1
Amanda_Marsh	1	4	Svetlana_Koroleva	2	0
Amelie_Mauresmo	6	3	Terri_Clark	1	1
